f_Hz   Yqq   Yqd   Ydq   Ydd
1.0   (0.0076305402126535474+0.00023203471999699981j)   (-0.0167811634153708+0.0002415765152185733j)   (0.01678212681656653-0.00024131122570029867j)   (0.0076287464701261885+0.00022916731514266588j)
2.0   (0.007645975494858505+0.00046411861154805847j)   (-0.016789272489794765+0.0004838567104536448j)   (0.016788345832767018-0.00048346375422638523j)   (0.0076458279243201+0.0004584072836299209j)
3.0   (0.007676449943446296+0.0006960566040251242j)   (-0.01679729177397598+0.000727377402066807j)   (0.016798184234935613-0.0007272429161780497j)   (0.00767271954163248+0.0006874896641216265j)
4.0   (0.007714991592283984+0.0009278721274274143j)   (-0.016813379372183124+0.0009729493794241547j)   (0.016812500842893246-0.0009726434138001087j)   (0.0077120265291614086+0.0009167634098478102j)
5.0   (0.007768842437999526+0.001159399891780962j)   (-0.01682935084062096+0.0012209869098016397j)   (0.016830532488093845-0.0012208089790938191j)   (0.007761215281286998+0.0011459364072079268j)
6.0   (0.007831097620051804+0.001390711469425649j)   (-0.01685331230145583+0.001472562348895649j)   (0.016852542737526253-0.0014721644272727408j)   (0.007823171114727866+0.0013756821402658966j)
7.0   (0.00790913766708982+0.0016215372580419187j)   (-0.01687678156156096+0.00172792810096044j)   (0.016877960059093942-0.0017278653702651212j)   (0.007895735110920067+0.001605030270450119j)
8.0   (0.007996057658094724+0.0018519438440995398j)   (-0.016908007025068953+0.0019882240244076485j)   (0.0169072990043809-0.001987767943691584j)   (0.007981767914494271+0.0018349071960615795j)
9.0   (0.008099348485863207+0.002081545766856008j)   (-0.016938337420163267+0.002253724995882531j)   (0.016939539854059552-0.0022537130371935907j)   (0.008079187415971972+0.00206403205369757j)
10.0   (0.008212229217251812+0.0023104716558592065j)   (-0.01697602848532848+0.002525709357678619j)   (0.016975297743394752-0.0025252229773827595j)   (0.00819099432209662+0.002293607996999556j)
11.0   (0.008342310096019729+0.0025381152786289364j)   (-0.01701228216056294+0.0028043586067392893j)   (0.017013613733305955-0.0028045059436085954j)   (0.00831513403197026+0.002521864639468343j)
12.0   (0.008482894490369519+0.002764623308286498j)   (-0.01705543181820076+0.0030910751695943793j)   (0.01705479093669078-0.003090773674468324j)   (0.008454687362150761+0.0027502497949431185j)
13.0   (0.008641517331255281+0.0029892734182327967j)   (-0.017096244153336722+0.003386148517222305j)   (0.0170976231694727-0.0033864979989032444j)   (0.008607799795034596+0.0029765176389606727j)
14.0   (0.008811682428856873+0.0032120439821846027j)   (-0.01714320674976708+0.0036910432172784793j)   (0.01714265148267041-0.0036907868227268334j)   (0.008777632049335437+0.0032023587690867008j)
15.0   (0.009001157874950195+0.0034321530454707494j)   (-0.017186888894750722+0.004005875658938626j)   (0.017188353405251457-0.004006437939375095j)   (0.008962119728940494+0.003424936041708437j)
16.0   (0.009203372038887792+0.003649424683997485j)   (-0.017235760587515078+0.0043324211034432665j)   (0.01723509362559461-0.004332288496175303j)   (0.009164750581357928+0.0036462321615337166j)
17.0   (0.00942634669641437+0.003862899213525454j)   (-0.01727987082359201+0.00467072797490255j)   (0.01728130517163693-0.004671516371178571j)   (0.00938351659727912+0.0038627446285028583j)
18.0   (0.009663178695185912+0.00407215742924387j)   (-0.017327730067303922+0.005022723226250286j)   (0.017326997584170247-0.005022614743849017j)   (0.009622036891166873+0.004076713599522144j)
19.0   (0.009922371470061742+0.00427606293054224j)   (-0.01736912835519261+0.00538831248968511j)   (0.017370472640909407-0.005389240717820368j)   (0.009878048049014928+0.004283985388861774j)
20.0   (0.010196737113133278+0.004474036981342454j)   (-0.017412451605647025+0.005769634518890046j)   (0.017411464478299096-0.005769392455143376j)   (0.0101554947876292+0.004486983754178676j)
21.0   (0.010495383545158228+0.004664456538183638j)   (-0.017446916498880256+0.006166455218233243j)   (0.017448150696538045-0.006167550406560501j)   (0.010451842141834707+0.004680767267603886j)
22.0   (0.010810595908104088+0.004846598064014192j)   (-0.01748094930257927+0.006581055762725595j)   (0.0174798042352042-0.006580937399151662j)   (0.010771298520607955+0.004867990113780539j)
23.0   (0.01115144036826177+0.005018592727113716j)   (-0.017502999709511642+0.007012936477782688j)   (0.017504159178026647-0.007014146507265109j)   (0.011111083139351684+0.005042805269836041j)
24.0   (0.011510462829703031+0.005179108584712632j)   (-0.01752155513425799+0.007464560061377962j)   (0.017520311196156876-0.0074645473911468j)   (0.011475529325115055+0.005208026580109407j)
25.0   (0.011896786001910785+0.005326176394025482j)   (-0.017526757651902956+0.007936676469087857j)   (0.017525584782887932-0.007936782207903434j)   (0.01186296549904162+0.005359445220606076j)
