f_Hz   Yqq   Yqd   Ydq   Ydd
1.0   (-0.019947277503847893-8.025728471665943e-05j)   (-0.00034633566706815557-1.377945915206949e-06j)   (-0.0003403963282565695+0.00014381975354237276j)   (0.019602829681859217-1.3348328306546466e-06j)
2.0   (-0.021479534121406785-8.257590002028618e-05j)   (-0.00033056444780159543-5.085216455732012e-06j)   (-0.0003493260632259395+0.00029253558361643856j)   (0.019828022870555472-8.593460391420951e-05j)
3.0   (-0.024277460687436237+0.0007386866129237419j)   (-0.00034734065466915316-8.560518104098426e-06j)   (-0.00037286960258466035+0.0004568977199154285j)   (0.020175359280988913-0.0003292053543711094j)
4.0   (-0.027838708400444636+0.0029393621840190006j)   (-0.0003419342650640697+1.2523514171848737e-05j)   (-0.0004025695490627831+0.0006609775474973597j)   (0.02056191751111398-0.0008013942520002942j)
5.0   (-0.03168675529780048+0.006884262359794043j)   (-0.00040249031706888463+2.306676795395111e-06j)   (-0.0005130891950332329+0.0010030171584115074j)   (0.02086342623186073-0.0015617953536791762j)
6.0   (-0.03504320705131168+0.012749295006351873j)   (-0.00034808464745877477+5.221873268760034e-05j)   (-0.0005455043460177559+0.0016244376469692005j)   (0.020988031481916004-0.0025501624657074916j)
7.0   (-0.037175733973208815+0.0204902742163476j)   (-0.00037873650244172284+0.00010007734037623402j)   (-0.0003933747706867815+0.0024617320770892034j)   (0.020781682350166322-0.0037562789097116047j)
8.0   (-0.03695446790523815+0.029647568440996426j)   (-0.0002286233094899762+7.689176235929983e-05j)   (0.00040127167593269786+0.0035030296028348024j)   (0.02023767058555077-0.005109292104418894j)
9.0   (-0.03389526546957343+0.03919005642730935j)   (-0.00018041473601714117+2.4159828618205013e-05j)   (0.0016921438571592983+0.004265705130234442j)   (0.019063698380027458-0.006203822735942214j)
10.0   (-0.027729293392163033+0.04765578073748771j)   (-0.0001333565190665515-0.0001931515874710694j)   (0.003637832712228554+0.004531327910860293j)   (0.01759466624035912-0.007181536036856392j)
11.0   (-0.019440805434544045+0.053649732731006906j)   (-0.00017820252025948653-0.0004223745047292438j)   (0.005601496065761742+0.003699514578933653j)   (0.015844373105934954-0.007533043195998702j)
12.0   (-0.010337184043924879+0.05650404381447063j)   (-0.0003659742476531111-0.00047188003733373966j)   (0.007151358795856847+0.0023851518724978893j)   (0.013963030407990552-0.007379684306388592j)
13.0   (-0.0019007705124375876+0.05670513349892775j)   (-0.000471075694323467-0.0005250368853046424j)   (0.008080466003482188+0.0006115364794602957j)   (0.012244401857302988-0.006646641610773359j)
14.0   (0.005008947744251407+0.055241507485646386j)   (-0.0007179918043344608-0.00048392772113875677j)   (0.008284416846296331-0.00100621815663619j)   (0.010883931659032946-0.005865901155685585j)
15.0   (0.010244991253931473+0.052815303238922404j)   (-0.0010496460799740634-0.0005092064731271783j)   (0.008250028835303784-0.002301411767599968j)   (0.009770707589875763-0.00492704932836234j)
16.0   (0.014223100398993311+0.05028908895080674j)   (-0.001165181135287633-0.0004989782225235163j)   (0.007990872715900958-0.0033509032327063587j)   (0.008837940200056143-0.0038153704707685897j)
17.0   (0.01704724513612069+0.04807201203694483j)   (-0.0014875330908315487-0.00028971042216777366j)   (0.007635111847213958-0.004506664730951255j)   (0.008304058687976547-0.0028741321129746584j)
18.0   (0.019350884565862373+0.046165686592374154j)   (-0.0015902211825108508-0.00010868420110790838j)   (0.007128065943834308-0.005422987369622268j)   (0.007551708539541964-0.0018441097699337448j)
19.0   (0.02127705256482193+0.044481021908078955j)   (-0.0017115008586639725-8.327339613934663e-05j)   (0.006802480916320271-0.0062340047836351815j)   (0.006962120431904383-0.0006967043133264558j)
20.0   (0.022563662888182963+0.043052064949963754j)   (-0.0018499630762988041+0.00025196204850024706j)   (0.007056888100440212-0.006781626692138279j)   (0.0064439873938312315+0.0002290188137523j)
21.0   (0.023598576914356767+0.04230177322768684j)   (-0.002067098101122209+0.00021950781524943195j)   (0.006645109284651425-0.008058140378666106j)   (0.006204941283225956+0.0012421659971636947j)
22.0   (0.024950275918409766+0.04144780074769384j)   (-0.002262241703540593+0.00026435648603814933j)   (0.00619459534579194-0.009031597118458273j)   (0.005944228479481145+0.002310365358283945j)
