f_Hz   Yqq   Yqd   Ydq   Ydd
1.0   (0.0001868935460775463-4.281552366571571e-05j)   (2.7904173963516846e-05+6.897626938674395e-05j)   (-8.180971622859795e-06+2.7042464768027428e-06j)   (-0.00019989637024379143+9.607022840508889e-07j)
2.0   (0.00016285132320541362-7.520506196625806e-05j)   (9.607416239750087e-05+9.362895126013864e-05j)   (-6.156313826972447e-06+4.4306550514298975e-06j)   (-0.0002084765789362831+7.365344031315627e-06j)
3.0   (0.00013324265976270174-9.380647485391823e-05j)   (0.00015885044292797496+6.879556487173095e-05j)   (-3.625404461942652e-06+5.136589960192036e-06j)   (-0.00021669357365755896+2.093500025103591e-05j)
4.0   (0.00010486743914288286-0.00010077012544408444j)   (0.00019155718077282439+1.725360993822469e-05j)   (-1.002423267785676e-06+4.822165061989763e-06j)   (-0.00022027745911656384+3.940313953586719e-05j)
5.0   (8.088095603999863e-05-0.00010017982766367575j)   (0.00019309016869981473-3.6656776801541795e-05j)   (1.3414810189757148e-06+3.671474912867704e-06j)   (-0.00021796301699444814+5.909896808169219e-05j)
6.0   (6.180100573636787e-05-9.540612238484567e-05j)   (0.00017363197050438404-7.92384662756316e-05j)   (3.2284694449860906e-06+1.9607353182127634e-06j)   (-0.0002106992910207366+7.722440056675785e-05j)
7.0   (4.7038887217883334e-05-8.871365413448279e-05j)   (0.00014423284871102087-0.00010675078478778423j)   (4.624509992911365e-06-6.443449141719675e-08j)   (-0.00020020149319881195+9.243483346805543e-05j)
8.0   (3.571291572508043e-05-8.133504745476263e-05j)   (0.00011272023757602997-0.00012066929836587258j)   (5.580170887090382e-06-2.235084056929149e-06j)   (-0.00018801878832758336+0.00010443941788813566j)
9.0   (2.7020687245463407e-05-7.39594633161909e-05j)   (8.349127273902908e-05-0.0001243421980403424j)   (6.159159495278402e-06-4.446275010144393e-06j)   (-0.00017528201834620348+0.00011350303241475124j)
10.0   (2.0313406707288168e-05-6.68751669215054e-05j)   (5.848615671094547e-05-0.00012104378286126223j)   (6.4317685043150785e-06-6.639317035230838e-06j)   (-0.00016270024198525795+0.00012008633315930023j)
11.0   (1.5104629979631698e-05-6.023599848449887e-05j)   (3.819059453500231e-05-0.00011348434058443472j)   (6.4487048766207024e-06-8.781605157865253e-06j)   (-0.00015068704976266213+0.00012468066183824342j)
