f_Hz   Yqq   Yqd   Ydq   Ydd
1.0   (0.00985331831303107+0.0036027970354132162j)   (-0.1812823077956097+0.00037975095560349937j)   (0.18130055575746878-0.0003800984686962967j)   (0.00984308752331959+0.003602361837046396j)
2.0   (0.009867845429739546+0.007211632732831245j)   (-0.18150648714145481+0.0007649984367200533j)   (0.18148839763962613-0.0007638628613222854j)   (0.009879229844194077+0.007213305783675933j)
3.0   (0.009949838924155867+0.01084197869080594j)   (-0.1818542235967508+0.0011476097737234323j)   (0.1818716095365796-0.0011494357856410451j)   (0.00994188413260137+0.010838850679140755j)
4.0   (0.010006089232762763+0.014488152233701538j)   (-0.18237549318153068+0.001542341485096047j)   (0.18235326448096573-0.0015401671610337105j)   (0.010022954906881655+0.014488611822383963j)
5.0   (0.010143440229978592+0.01817919653366955j)   (-0.18301831354299014+0.001936635526668639j)   (0.18302800584326773-0.0019435654731648933j)   (0.010135674137152577+0.018184652563291905j)
6.0   (0.010249554406950016+0.02189959900775141j)   (-0.18383349681262953+0.002353962517150724j)   (0.18380631635877043-0.002348415025750869j)   (0.010264192521531365+0.02190963540775517j)
7.0   (0.010471285956282463+0.025689783460635312j)   (-0.18476849488086103+0.0027483613116991096j)   (0.1847867333420458-0.002778820802719105j)   (0.01043579285793492+0.025694845611615905j)
8.0   (0.01063521845629865+0.029530500546244693j)   (-0.18589031047650714+0.0032018122314971136j)   (0.18587584762319156-0.003212286547793994j)   (0.010629883532944164+0.029546953591372143j)
9.0   (0.01086754370559426+0.03349019293513501j)   (-0.18716432710124592+0.003668595196530633j)   (0.1871944325925784-0.00367393285336316j)   (0.010839850666502737+0.0334624716264848j)
10.0   (0.011083841800386445+0.037454253510717225j)   (-0.1886399514842704+0.004155395670170523j)   (0.18861814388229697-0.004141937743546503j)   (0.011106472108238064+0.03744556032767277j)
11.0   (0.01137766997006083+0.04159484211839639j)   (-0.1902616732731125+0.004669226438958495j)   (0.19028683434183968-0.004645299308862086j)   (0.011404205913075144+0.041554561008329875j)
12.0   (0.011748540823672264+0.04577075663339776j)   (-0.19209667997038954+0.00515912839357438j)   (0.19207118665512518-0.0051758748521850894j)   (0.01172086482417535+0.045825624940485685j)
13.0   (0.011996761243616073+0.050103405168756825j)   (-0.19412676549533991+0.005788809790257508j)   (0.19413061033918946-0.005712984421345122j)   (0.0121182005746213+0.05005282176950548j)
14.0   (0.012519865670831257+0.054475995939585894j)   (-0.19639035015762904+0.006318612119238883j)   (0.1962965830733251-0.006316433748037615j)   (0.012563998046615446+0.05464221493756382j)
15.0   (0.01305357267814428+0.059255165265788334j)   (-0.19877507961024216+0.006931373962385496j)   (0.19880719599507704-0.0069884599694394495j)   (0.012924586450801101+0.05923695575959217j)
16.0   (0.013423569301238121+0.06408782176844652j)   (-0.20141567329675483+0.007675496292061264j)   (0.20148870305475272-0.007630877931751141j)   (0.013470753247997022+0.06391552709567509j)
17.0   (0.014236438134335136+0.06892351342270361j)   (-0.20445725414051458+0.008313417296215592j)   (0.2043976772754594-0.008419926503288254j)   (0.014065788787707423+0.06908260564806663j)
18.0   (0.014708803355794354+0.07408634835757784j)   (-0.20765322869270847+0.009191686251085822j)   (0.20758009439153297-0.009160905721326584j)   (0.01478203341198484+0.07419618234120019j)
19.0   (0.015433187004783114+0.07961672231419048j)   (-0.21114106196016516+0.010043574159886163j)   (0.21114647063841135-0.010030731658788854j)   (0.015443547965469656+0.07962874528092193j)
20.0   (0.01615570286789079+0.0852937217791139j)   (-0.21492076746974997+0.011016693472824515j)   (0.21493957030880764-0.010942669847713382j)   (0.016282352318090096+0.08521543923956447j)
21.0   (0.017137610654662346+0.09133018671877588j)   (-0.21910291914836466+0.012029550199619383j)   (0.21914516868312828-0.012008065729099295j)   (0.017162814006549898+0.09127443438069135j)
22.0   (0.018318922184703382+0.09774873308852697j)   (-0.22362761425769412+0.013086019103286972j)   (0.2236903255073963-0.01322029371129028j)   (0.01808104415242779+0.09765173460592609j)
23.0   (0.019367585018551438+0.10429053115445147j)   (-0.22861734892854796+0.014399916181782595j)   (0.22862701358167034-0.01443250851510257j)   (0.01930913234406866+0.10429287175186584j)
24.0   (0.020575386092796168+0.11136702490134054j)   (-0.23397268605809185+0.01579902168742973j)   (0.2340073360275828-0.015793782015406946j)   (0.020582043063778352+0.1112815855298218j)
25.0   (0.02214173395976799+0.11899048049966837j)   (-0.2399562091941538+0.01731530806423871j)   (0.23998030985220023-0.017416089755083318j)   (0.021955299872466826+0.1189739754556295j)
26.0   (0.023608645696469307+0.1270844117686101j)   (-0.24631340867611823+0.019122598166153134j)   (0.24645101875020764-0.019082925107194556j)   (0.02365829117207626+0.12684596809763798j)
27.0   (0.025645437859953348+0.1355496801034775j)   (-0.2535120809828681+0.021082067179504237j)   (0.2534717288851998-0.02112233252883511j)   (0.02558074913680988+0.1356250231797386j)
28.0   (0.027723232795736266+0.14486139725494324j)   (-0.26122088593035164+0.023361554390032693j)   (0.26124426850303467-0.023332733257547825j)   (0.02777928272752806+0.14480121505460455j)
29.0   (0.030252969166264645+0.1551578377113812j)   (-0.26975955424171616+0.0258413879636208j)   (0.2699829031314641-0.025947240947463392j)   (0.030092975909601+0.15483702304897512j)
30.0   (0.033047421994831384+0.1655878791612679j)   (-0.27930974215712606+0.028963906248619307j)   (0.2791569293812495-0.02881595416251136j)   (0.03328644156345079+0.16579768812578763j)
31.0   (0.03642231204462797+0.17777200902209264j)   (-0.2897875811856761+0.03223060865924252j)   (0.28984072827129825-0.032280211520161736j)   (0.03634290273418068+0.17770914156345555j)
32.0   (0.040414866415180876+0.19065189473503796j)   (-0.3014788216536856+0.0362103161898386j)   (0.3013678210229562-0.036302444221539484j)   (0.040283710964729214+0.19079926259051228j)
33.0   (0.045539700173386335+0.2048536100416316j)   (-0.3148536876266271+0.040807215200624865j)   (0.3142686346910735-0.041312427585351655j)   (0.044806303701387516+0.2056833379375107j)
35.0   (0.0568691943870387+0.23831541800230463j)   (-0.3452947162579528+0.05322021229273531j)   (0.3452121026597236-0.05302712564564239j)   (0.05713125709415832+0.2384495885071173j)
36.0   (0.06485523214871641+0.2582512061642637j)   (-0.3637827031565529+0.06108140137666075j)   (0.3638179802773061-0.06109215610542637j)   (0.06484122121169864+0.2581903224173301j)
37.0   (0.07402872466831148+0.28047962831024564j)   (-0.3843999490675368+0.0710402098956137j)   (0.384914697462691-0.07049127495146068j)   (0.07475741770761193+0.2798409737877763j)
38.0   (0.08654654571211723+0.3053135095506724j)   (-0.40874870947080155+0.08350810846035604j)   (0.40861139527189716-0.08294559053707791j)   (0.08725529182708763+0.30549468225600146j)
40.0   (0.12218734025668793+0.36732540897898996j)   (-0.46873252962382916+0.11866846892418562j)   (0.46827003512151316-0.11860016725104143j)   (0.12225031339897181+0.3678821572019623j)
41.0   (0.14701074526455485+0.40535744786945244j)   (-0.5050142027769781+0.14508951199593664j)   (0.505347105158375-0.14367031333617883j)   (0.1487185902900086+0.40503542926863734j)
